CountryName,OfficialName,Code,ISO3Code,UNCode,UNICEFCode,MDGRegion1,MDGRegion1excl,MDGRegion2,MDGRegion3,MDGRegion4,MDGRegion5,MDGRegion6,UNICEFProgRegion1,UNICEFProgRegion2,UNICEFProgRegion3,UNICEFProgRegion4,UNICEFProgRegion5,UNICEFProgRegion6,ECACountries,WHORegion1,WBRegion1,WBRegion2,WBRegion3,WBRegion4,WBRegion5,UNPDRegion1,UNPDRegion2,UNPDRegion3,UNPDRegion4,UNPDRegion5,OICRegion1,OICRegion2,OICRegion3,OICRegion4,Countdown.and.COIA.75.Priority.Countries,ECAAfrica,AURegion1,AURegion2,FragileCountries2013,FragileCountries2014,FragileCountries2015,FragileCountries2017,FragileCountries2018,FragileCountries2018OECD1,FragileCountries2018OECD2,FragileCountries2019,FCSCountries2020,USAIDcountry,M49Region1,M49Region2,M49Region3,SDGSimpleRegion1,SDGSimpleRegion2,SDGSimpleRegion3,SDGSimpleRegion4,SDGSimpleRegion5,SDGSimpleRegion6,SDGRegion1,SDGRegion2,SDGRegion3,SDGRegion4,SDGRegion5,SDGRegion6,SDGRegion7,HAC2020,HAC2019,GlobalStrategy,Conflict,UNICEFReportRegion1,UNICEFReportRegion2,Wealthdata1,Wealthdata2,Wealthdata3,WealthdataGlobal,Wealthall1,Wealthall2,Wealthall3,WealthallGlobal,UNRegion,AfricanEconomicCommunity,GAVICountries,SDGRCRegion1,SDGRCRegion2,SDGRCRegion3,SDGRCRegion4,SDGRCRegion5,SDGRCRegion6,SDGRCRegion7,SDGRCRegion8,SDGRCRegion9,SDGRCRegion10,SDGRCRegion11,SDGRCRegion12,SDGRCRegion13,SDGRCRegion14,SDGRCRegion15,JHURegion,SPhumanitarian,JHUFragile2021,LiST_UNICEFProgramm,LiST_UNICEFReport,LiST_all,ListSBRESCAP,ListSBR,EAPRORegion1,EAPRORegion2,EAPRORegion3,EAPRORegion4,EAPRORegion5,EAPRORegion6,EAPRORegion7,EAPRORegion8,EAPRORegion9
Kyrgyzstan,Kyrgyzstan,141,KGZ,417,KIR,Caucasus and Central Asia,Caucasus and Central Asia,Developing regions,,,,LLDC,CEE/CIS,CEE/CIS,,Developing countries,,,,Europe,Europe and Central Asia,Europe and Central Asia (excluding high-income),Middle income,Lower middle income,Low and middle income,Asia,,Less developed regions,Excluding least developed countries,Excluding China,OIC,Asia/other,OIC Low income,,Countdown,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Asia,Central Asia,,Central Asia and Southern Asia,Central Asia,,Landlocked developing countries (LLDCs),,"Australia and New Zealand, Central Asia, Europe and North America",Central Asia (M49) and Southern Asia (MDG=M49),Asia (M49),Central Asia (M49),Caucasus and Central Asia (MDG),,Landlocked developing countries (LLDCs),Developing regions (MDG),,,Global Strategy,Non conflict,Europe and Central Asia,Eastern Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,Lower middle income,Low and middle income,Europe and Central Asia,Eastern Europe and Central Asia,Lower middle income,Low and middle income,Asia-Pacific Group,,GAVI,,ECE_All countries,"ECE_Eastern Europe, Caucasus and Central Asia (CIS)",ECE_CIS (CWG),,ESCAP_ADB Group A (ADB_DMC_A),,ESCAP_ECO (ECO),,,ESCAP_LLDC (LLDC_E),ESCAP_North and Central Asia (NCA),ESCAP_All countries,,,Eastern Europe and Central Asia,Non-humanitarian,,Europe and Central Asia,Eastern Europe and Central Asia,LiST,LiSTSBR,LiSTSBR,,,,,,,,,
Lao PDR,Lao People's Democratic Republic,87,LAO,418,LAO,South-eastern Asia,South-eastern Asia,Developing regions,,Least developed countries,,LLDC,East Asia and Pacific,East Asia and Pacific,Asia,Developing countries,Least developed countries,,,Western Pacific,East Asia and Pacific,East Asia and Pacific (excluding high-income),Middle income,Lower middle income,Low and middle income,Asia,,Less developed regions,Least developed countries,Excluding China,,,,,Countdown,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Fragile,Other Fragile,Non-fragile,non-FCS,,Asia,South-Eastern Asia,,Eastern Asia and South-eastern Asia,South-eastern Asia,Least developed countries (LDCs),Landlocked developing countries (LLDCs),South Eastern Asia and Oceania (excl. Australia and New Zealand),,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Asia (M49),South-eastern Asia (MDG=M49),South-eastern Asia (MDG=M49),Least developed countries (LDCs),Landlocked developing countries (LLDCs),Developing regions (MDG),,,Global Strategy,Non conflict,East Asia and Pacific,,East Asia and Pacific,,Lower middle income,Low and middle income,East Asia and Pacific,,Lower middle income,Low and middle income,Asia-Pacific Group,,GAVI,,,,,,ESCAP_ADB Group A (ADB_DMC_A),ESCAP_ASEAN (ASEAN),,,ESCAP_LDC (LDC_E),ESCAP_LLDC (LLDC_E),ESCAP_South-East Asia (SEA),ESCAP_All countries,,,East Asia and the Pacific,Non-humanitarian,Fragile,East Asia and Pacific,East Asia and Pacific,LiST,LiSTSBR,LiSTSBR,EAPR Program Countries,EAPR Program Countries (excluding China),,,EAPR Countries,EAPR Countries (excluding China),,,ASEAN Countries
Latvia,Latvia,160,LVA,428,LAT,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Northern Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Eastern European Group,,,,ECE_All countries,ECE_European Union (EMU),ECE_Euro area (E25),,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Lebanon,Lebanon,58,LBN,422,LEB,Western Asia,Western Asia,Developing regions,,,,,Middle East and North Africa,Middle East and North Africa,,Developing countries,,Middle East,,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa (excluding high-income),Middle income,Upper middle income,Low and middle income,Asia,,Less developed regions,Excluding least developed countries,Excluding China,OIC,Arab,OIC Upper middle income,OIC Middle income,,,,,Non-fragile,Non-fragile,Non-fragile,Fragile,Fragile,Non-fragile,,Fragile,Fragile and Conflict-affected Situation,,Asia,Western Asia,,Western Asia and Northern Africa,Western Asia,,,,,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49),Western Asia (MDG),,,Developing regions (MDG),HAC,HAC,,Conflict,Middle East and North Africa,,,,,,Middle East and North Africa,,Upper middle income,Low and middle income,Asia-Pacific Group,,,,,,,,,,,,,,,ESCAP_Other Area (OTH_REGION),ESCWA_All countries,ESCWA_Arab countries,Middle East and North Africa,Non-humanitarian,Fragile,,,,,,,,,,,,,,
Lesotho,Lesotho,6,LSO,426,LES,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,South Africa,Least developed countries,,LLDC,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Middle income,Lower middle income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,,,,,Countdown,Southern Africa,Africa,Southern Africa,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Africa,Southern Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),Landlocked developing countries (LLDCs),,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Southern Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),Landlocked developing countries (LLDCs),Developing regions (MDG),,,,Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,Lower middle income,Low and middle income,Sub-Saharan Africa,Eastern and Southern Africa,Lower middle income,Low and middle income,African Group,,GAVI,ECA_Southern Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,Eastern and Southern Africa,Non-humanitarian,,Eastern and Southern Africa,Eastern and Southern Africa,LiST,,LiSTSBR,,,,,,,,,
Liberia,Liberia,33,LBR,430,LBR,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,West Africa,Least developed countries,,,West and Central Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,,,,,Countdown,West Africa,Africa,Western Africa,Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Other Fragile,Fragile,Fragile and Conflict-affected Situation,USAID,Africa,Western Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),,,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),,Developing regions (MDG),,,Global Strategy,Non conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Low income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Low income,Low and middle income,African Group,Economic Community of West African States,GAVI,ECA_West Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,West and Central Africa,Non-humanitarian,Fragile,West and Central Africa,West and Central Africa,LiST,,LiSTSBR,,,,,,,,,
Libya,Libya,57,LBY,434,LBY,Northern Africa,Northern Africa,Developing regions,North Africa,,,,Middle East and North Africa,Middle East and North Africa,Africa,Developing countries,,North Africa,,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa (excluding high-income),Middle income,Upper middle income,Low and middle income,Africa,,Less developed regions,Excluding least developed countries,Excluding China,OIC,Arab,OIC Upper middle income,OIC Middle income,,North Africa,Africa,Northern Africa,Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Other Fragile,Fragile,Fragile and Conflict-affected Situation,,Africa,Northern Africa,,Western Asia and Northern Africa,Northern Africa,,,,,Western Asia (M49) and Northern Africa (M49),Northern Africa (M49),Northern Africa (M49),Northern Africa (MDG),,,Developing regions (MDG),HAC,HAC,,Conflict,Middle East and North Africa,,,,,,Middle East and North Africa,,Upper middle income,Low and middle income,African Group,,,ECA_North Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),ESCWA_All countries,ESCWA_Arab countries,Middle East and North Africa,Non-humanitarian,Fragile,,,,,,,,,,,,,,
Liechtenstein,Liechtenstein,181,LIE,438,LIE,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,N/A,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,,,,non-FCS,,Europe,Western Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Western European and Others Group (WEOG),,,,ECE_All countries,,,,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Lithuania,Lithuania,161,LTU,440,LIT,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Northern Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Eastern European Group,,,,ECE_All countries,ECE_European Union (EMU),ECE_Euro area (E25),,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Luxembourg,Luxembourg,182,LUX,442,LUX,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Western Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Western European and Others Group (WEOG),,,,ECE_All countries,ECE_European Union (EMU),ECE_Euro area (E25),,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Macedonia,Republic of North Macedonia,151,MKD,807,MCD,Developed regions,Developed regions,Developed regions,,,,LLDC,CEE/CIS,CEE/CIS,,,,,,Europe,Europe and Central Asia,Europe and Central Asia (excluding high-income),Middle income,Upper middle income,Low and middle income,Europe,,More developed regions,More developed regions,,,,,,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Europe,Southern Europe,,Northern America and Europe,Europe,,Landlocked developing countries (LLDCs),"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49),Developed regions (MDG),,Landlocked developing countries (LLDCs),Developed regions,,,,Non conflict,Europe and Central Asia,Eastern Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Eastern European Group,,,,ECE_All countries,,ECE_West Balkans (ST7),,,,,,,,,ESCAP_Europe (Europe),,,Eastern Europe and Central Asia,Non-humanitarian,,Europe and Central Asia,Eastern Europe and Central Asia,LiST,,LiSTSBR,,,,,,,,,
Madagascar,Madagascar,7,MDG,450,MAD,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,Eastern Africa,Least developed countries,,,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,,,,,Countdown,Eastern Africa,Africa,Eastern Africa,Non-fragile,Fragile,Fragile,Non-fragile,Non-fragile,Fragile,Other Fragile,Non-fragile,non-FCS,USAID,Africa,Eastern Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),,,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),,Developing regions (MDG),HAC,HAC,Global Strategy,Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,African Group,,GAVI,ECA_East Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,Eastern and Southern Africa,Non-humanitarian,,Eastern and Southern Africa,Eastern and Southern Africa,LiST,,LiSTSBR,,,,,,,,,
Malawi,Malawi,8,MWI,454,MLW,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,South Africa,Least developed countries,,LLDC,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,,,,,Countdown,Southern Africa,Africa,Southern Africa,Non-fragile,Fragile,Non-fragile,Non-fragile,Non-fragile,Fragile,Other Fragile,Non-fragile,non-FCS,USAID,Africa,Eastern Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),Landlocked developing countries (LLDCs),,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),Landlocked developing countries (LLDCs),Developing regions (MDG),,,Global Strategy,Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,African Group,,GAVI,ECA_Southern Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,Eastern and Southern Africa,Non-humanitarian,,Eastern and Southern Africa,Eastern and Southern Africa,LiST,,LiSTSBR,,,,,,,,,
Malaysia,Malaysia,99,MYS,458,MLY,South-eastern Asia,South-eastern Asia,Developing regions,,,,,East Asia and Pacific,East Asia and Pacific,Asia,Developing countries,,,,Western Pacific,East Asia and Pacific,East Asia and Pacific (excluding high-income),Middle income,Upper middle income,Low and middle income,Asia,,Less developed regions,Excluding least developed countries,Excluding China,OIC,Asia/other,OIC Upper middle income,OIC Middle income,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Asia,South-Eastern Asia,,Eastern Asia and South-eastern Asia,South-eastern Asia,,,South Eastern Asia and Oceania (excl. Australia and New Zealand),,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Asia (M49),South-eastern Asia (MDG=M49),South-eastern Asia (MDG=M49),,,Developing regions (MDG),,,,Non conflict,East Asia and Pacific,,,,,,East Asia and Pacific,,Upper middle income,Low and middle income,Asia-Pacific Group,,,,,,,,ESCAP_ADB Group C (ADB_DMC_C),ESCAP_ASEAN (ASEAN),,,,,ESCAP_South-East Asia (SEA),ESCAP_All countries,,,East Asia and the Pacific,Non-humanitarian,,,,,,,EAPR Program Countries,EAPR Program Countries (excluding China),,,EAPR Countries,EAPR Countries (excluding China),,,ASEAN Countries
Maldives,Maldives,70,MDV,462,MAL,Southern Asia,Southern Asia excluding India,Developing regions,,,,SIDS,South Asia,South Asia,Asia,Developing countries,,,,South-East Asia,South Asia,South Asia (excluding high-income),Middle income,Upper middle income,Low and middle income,Asia,,Less developed regions,Excluding least developed countries,Excluding China,OIC,Asia/other,OIC Upper middle income,OIC Middle income,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Asia,Southern Asia,,Central Asia and Southern Asia,Southern Asia,,Small island developing States (SIDS),,,Central Asia (M49) and Southern Asia (MDG=M49),Asia (M49),Southern Asia (MDG=M49),Southern Asia (MDG=M49),,Small island developing States (SIDS),Developing regions (MDG),,,,Non conflict,South Asia,,South Asia,,Upper middle income,Low and middle income,South Asia,,Upper middle income,Low and middle income,Asia-Pacific Group,,,,,,,,ESCAP_ADB Group A (ADB_DMC_A),ESCAP_SAARC (SAARC),,,,,ESCAP_South and South-West Asia (SSWA),ESCAP_All countries,,,South Asia,Non-humanitarian,,South Asia,South Asia,LiST,LiSTSBR,LiSTSBR,,,,,,,,,
Mali,Mali,34,MLI,466,MLI,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,West Africa,Least developed countries,,LLDC,West and Central Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,OIC,Africa,OIC Low income,,Countdown,West Africa,Africa,Western Africa,Non-fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Extremely Fragile,Fragile,Fragile and Conflict-affected Situation,USAID,Africa,Western Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),Landlocked developing countries (LLDCs),,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),Landlocked developing countries (LLDCs),Developing regions (MDG),,,Global Strategy,Conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Low income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Low income,Low and middle income,African Group,Economic Community of West African States,GAVI,ECA_West Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,West and Central Africa,Non-humanitarian,Fragile,West and Central Africa,West and Central Africa,LiST,,LiSTSBR,,,,,,,,,
Malta,Malta,183,MLT,470,MLT,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Middle East and North Africa,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Southern Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Western European and Others Group (WEOG),,,,ECE_All countries,ECE_European Union (EMU),ECE_Euro area (E25),,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Marshall Islands,Marshall Islands,78,MHL,584,MSI,Oceania,Oceania,Developing regions,,,,SIDS,East Asia and Pacific,East Asia and Pacific,Asia,Developing countries,,,,Western Pacific,East Asia and Pacific,East Asia and Pacific (excluding high-income),Middle income,Upper middle income,Low and middle income,Oceania,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,Fragile,Fragile,Fragile,Fragile,Fragile,Non-fragile,,Fragile,Fragile and Conflict-affected Situation,,Oceania,Micronesia,,Oceania,Oceania excluding Australia and New Zealand,,Small island developing States (SIDS),South Eastern Asia and Oceania (excl. Australia and New Zealand),,Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Micronesia (M49),Oceania (MDG),,Small island developing States (SIDS),Developing regions (MDG),,,,Non conflict,East Asia and Pacific,,,,,,East Asia and Pacific,,Upper middle income,Low and middle income,Asia-Pacific Group,,,,,,,,ESCAP_ADB Group A (ADB_DMC_A),ESCAP_Pacific island developing economies (PIDE),,,,,ESCAP_PACIFIC (PAC),ESCAP_All countries,,,East Asia and the Pacific,Non-humanitarian,Fragile,,,,,,EAPR Program Countries,EAPR Program Countries (excluding China),Pacific Program Countries,Pacific Program Countries (excluding PNG),EAPR Countries,EAPR Countries (excluding China),Pacific Countries,Pacific Countries (excluding PNG),
Mauritania,Mauritania,35,MRT,478,MTA,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,North Africa,Least developed countries,,,West and Central Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Middle income,Lower middle income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,OIC,Arab,OIC Low income,,Countdown,North Africa,Africa,Northern Africa,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Fragile,Other Fragile,Non-fragile,non-FCS,,Africa,Western Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),,,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),,Developing regions (MDG),HAC,HAC,Global Strategy,Non conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Lower middle income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Lower middle income,Low and middle income,African Group,,GAVI,ECA_North Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),ESCWA_All countries,ESCWA_Arab countries,West and Central Africa,Non-humanitarian,,West and Central Africa,West and Central Africa,LiST,,LiSTSBR,,,,,,,,,
Mauritius,Mauritius,17,MUS,480,MTS,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,South Africa,,,SIDS,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Developing countries,,,,Africa,Sub-Saharan Africa,,High income,High income,,Africa,Sub-Saharan Africa,Less developed regions,Excluding least developed countries,Excluding China,,,,,,Southern Africa,Africa,Eastern Africa,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Africa,Eastern Africa,,Sub-Saharan Africa,,,Small island developing States (SIDS),,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49),Sub-Saharan Africa (MDG),,Small island developing States (SIDS),Developing regions (MDG),,,,Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,,,,,,,,,African Group,,,ECA_Southern Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,Eastern and Southern Africa,Non-humanitarian,,,,,,,,,,,,,,,
Mexico,Mexico,125,MEX,484,MEX,Latin America and the Caribbean,Latin America and the Caribbean,Developing regions,,,Latin America,,Latin America and the Caribbean,Latin America and the Caribbean,,Developing countries,,,,Americas,Latin America and the Caribbean,Latin America and the Caribbean (excluding high-income),Middle income,Upper middle income,Low and middle income,Latin America and the Caribbean,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Americas,Latin America and the Caribbean,Central America,Latin America and the Caribbean,,,,,,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Central America (M49),Latin America and the Caribbean (MDG=M49),,,Developing regions (MDG),,,,Non conflict,Latin America and Caribbean,,,,,,Latin America and Caribbean,,Upper middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),,,,ECLAC_All countries,,,ECLAC_Latin America,,,,,,,,ESCAP_Latin America (LAC),,,Latin America and Caribbean,Non-humanitarian,,Latin America and the Caribbean,Latin America and Caribbean,LiST,,LiSTSBR,,,,,,,,,
Moldova,Republic of Moldova,152,MDA,498,MOL,Developed regions,Developed regions,Developed regions,,,,LLDC,CEE/CIS,CEE/CIS,,,,,,Europe,Europe and Central Asia,Europe and Central Asia (excluding high-income),Middle income,Lower middle income,Low and middle income,Europe,,More developed regions,More developed regions,,,,,,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Europe,Eastern Europe,,Northern America and Europe,Europe,,Landlocked developing countries (LLDCs),"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Eastern Europe (M49),Developed regions (MDG),,Landlocked developing countries (LLDCs),Developed regions,,,,Non conflict,Europe and Central Asia,Eastern Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,Lower middle income,Low and middle income,Europe and Central Asia,Eastern Europe and Central Asia,Lower middle income,Low and middle income,Eastern European Group,,GAVI,,ECE_All countries,"ECE_Eastern Europe, Caucasus and Central Asia (CIS)",ECE_CIS (CWG),,,,,,,,,ESCAP_Europe (Europe),,,Eastern Europe and Central Asia,Non-humanitarian,,Europe and Central Asia,Eastern Europe and Central Asia,LiST,,LiSTSBR,,,,,,,,,
Monaco,Monaco,184,MCO,492,MON,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Western Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Western European and Others Group (WEOG),,,,ECE_All countries,,,,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
